"id","name","updated_at","created_at","lookup_name","aliases","logo_url","ticker_symbol","website_url","pixel_placed_at","series_id"
"61088720-27a5-11ee-8c81-130449c77df1"," Blue Seal","2023-07-21 09:02:54.614152+00","2023-07-21 09:02:54.614152+00","blueseal",NULL,NULL,NULL,NULL,NULL,NULL
"f3018e30-4201-11ee-afd7-a5013319086f","Clear the Shelters ","2023-08-23 22:11:03.451807+00","2023-08-23 22:11:03.451807+00","cleartheshelters",NULL,NULL,NULL,NULL,NULL,NULL
"4f1189a0-3596-11ee-aa40-c9e80cd2fb75","Restic","2023-08-08 02:50:18.304812+00","2023-08-08 02:50:18.304812+00","restic",NULL,NULL,NULL,NULL,NULL,NULL
"635d9b20-4206-11ee-bf19-cfdd340abc9c","INFINITY WHOLE HEALTH","2023-08-23 22:42:49.946191+00","2023-08-23 22:42:49.946191+00","infinitywholehealth",NULL,NULL,NULL,NULL,NULL,NULL
"368abb90-4207-11ee-bfd1-bf35dd1d057a","House of Franchise Inc","2023-08-23 22:48:44.240393+00","2023-08-23 22:48:44.240393+00","houseoffranchiseinc",NULL,NULL,NULL,NULL,NULL,NULL
"13ec9b00-420f-11ee-87b0-1d838c1f445c","Motor Sportsland","2023-08-23 23:45:02.129971+00","2023-08-23 23:45:02.129971+00","motorsportsland",NULL,NULL,NULL,NULL,NULL,NULL
"7a3db3d0-4f0c-11ee-99e3-679d689e19f1","Three Business","2023-09-09 12:29:10.417441+00","2023-09-09 12:29:10.417441+00","threebusiness",NULL,NULL,NULL,NULL,NULL,NULL
"bc6e8bf0-4212-11ee-ac1a-59467d980202","Jeremiah Watkins","2023-08-24 00:11:13.335373+00","2023-08-24 00:11:13.335373+00","jeremiahwatkins",NULL,NULL,NULL,NULL,NULL,NULL
"73173680-4f16-11ee-84f3-67899bd24973","addy","2023-09-09 13:40:33.38964+00","2023-09-09 13:40:33.38964+00","addy",NULL,NULL,NULL,NULL,NULL,NULL
"d6b61a50-4f5f-11ee-9b1e-f5dca4988f40","Oddsr","2023-09-09 22:25:53.790487+00","2023-09-09 22:25:53.790487+00","oddsr",NULL,NULL,NULL,NULL,NULL,NULL
"593cb8a0-4207-11ee-adc6-b7579d9d5743","Real Estate Investment Opportunities & Business Franchises","2023-08-23 22:49:42.449104+00","2023-08-23 22:49:42.449104+00","realestateinvestmentopportunitiesbusinessfranchises",NULL,NULL,NULL,NULL,NULL,NULL
"7a34d0b0-4207-11ee-bfd1-bf35dd1d057a","Minor Issues ","2023-08-23 22:50:37.762301+00","2023-08-23 22:50:37.762301+00","minorissues",NULL,NULL,NULL,NULL,NULL,NULL
"48554130-4214-11ee-92bb-15a0b2c27881","Fantasy Sports Knockout","2023-08-24 00:22:17.545109+00","2023-08-24 00:22:17.545109+00","fantasysportsknockout",NULL,NULL,NULL,NULL,NULL,NULL
"9e3443f0-4adc-11ee-af6c-134fd858a34b"," Southern Barbecue","2023-09-04 04:36:30.260845+00","2023-09-04 04:36:30.260845+00","southernbarbecue",NULL,NULL,NULL,NULL,NULL,NULL
"a69d1450-4216-11ee-b3f3-35741ec3f206","Keeper's Heart Whiskey","2023-08-24 00:39:14.720172+00","2023-08-24 00:39:14.720172+00","keepersheartwhiskey",NULL,NULL,NULL,NULL,NULL,NULL
"f0c1c370-4219-11ee-a5b3-e9db758476c3","CDJR","2023-08-24 01:02:47.611768+00","2023-08-24 01:02:47.611768+00","cdjr",NULL,NULL,NULL,NULL,NULL,NULL
"31b35f90-422b-11ee-bc1b-974a6fe554f3","Ray Chevy","2023-08-24 03:06:18.004165+00","2023-08-24 03:06:18.004165+00","raychevy",NULL,NULL,NULL,NULL,NULL,NULL
"b5fecc80-2f39-11ee-9984-11473edc1d88","Almost There Emerson Collective","2023-07-31 00:32:20.812601+00","2023-07-31 00:32:20.812601+00","almostthereemersoncollective",NULL,NULL,NULL,NULL,NULL,NULL
"07151f70-3598-11ee-aa40-c9e80cd2fb75","Bronco ATV","2023-08-08 03:02:36.519535+00","2023-08-08 03:02:36.519535+00","broncoatv",NULL,NULL,NULL,NULL,NULL,NULL
"6673c7e0-421e-11ee-8aaa-3535f95556cc","The Battle’s End","2023-08-24 01:34:43.046027+00","2023-08-24 01:34:43.046027+00","thebattle’send",NULL,NULL,NULL,NULL,NULL,NULL
"eee03ac0-4230-11ee-9bc7-b5ed78cd77a6","DCF","2023-08-24 03:47:22.872018+00","2023-08-24 03:47:22.872018+00","dcf",NULL,NULL,NULL,NULL,NULL,NULL
"aec2d400-421e-11ee-8709-fbb4786e9863","Newsmax Daily Podcast","2023-08-24 01:36:44.358813+00","2023-08-24 01:36:44.358813+00","newsmaxdailypodcast",NULL,NULL,NULL,NULL,NULL,NULL
"d93b0540-421e-11ee-8df9-cf0519f29ba4","Crook Manifesto","2023-08-24 01:37:55.609753+00","2023-08-24 01:37:55.609753+00","crookmanifesto",NULL,NULL,NULL,NULL,NULL,NULL
"a6ace8e0-3a6d-11ee-82ff-ff8674e24df1","TFL","2023-08-14 06:41:51.733602+00","2023-08-14 06:41:51.733602+00","tfl",NULL,NULL,NULL,NULL,NULL,NULL
"b22bac10-421f-11ee-91b9-e1958ef39842","Ray Chevrolet","2023-08-24 01:43:59.576925+00","2023-08-24 01:43:59.576925+00","raychevrolet",NULL,NULL,NULL,NULL,NULL,NULL
"a48efc14-bb40-4ba6-b56d-e9bcadb6f86b","Anthony O'Neil","2023-09-09 22:42:04.551625+00","2023-09-09 22:42:04.551625+00","anthonyoneil",NULL,NULL,NULL,NULL,NULL,NULL
"d200c530-5047-11ee-a56c-336a1c9d797a","Nemacolin ","2023-09-11 02:06:29.134501+00","2023-09-11 02:06:29.134501+00","nemacolin",NULL,NULL,NULL,NULL,NULL,NULL
